Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,
729,11/4/2019,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,Group,151,7,155,6,Chennai Super Kings,Wickets,4,Mahendra Singh Dhoni,
730,12/4/2019,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,Group,178,7,180,3,Delhi Capitals,Wickets,7,Shikhar Dhawan,
731,13-04-2019,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,187,5,188,6,Rajasthan Royals,Wickets,4,Jos Buttler,
732,13-04-2019,Punjab Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,173,4,174,2,Royal Challengers Bangalore,Wickets,8,AB de Villiers,
733,14-04-2019,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Group,161,8,162,5,Chennai Super Kings,Wickets,5,Imran Tahir,
734,14-04-2019,Rajiv Gandhi International Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,155,7,116,10,Delhi Capitals,Runs,39,Keemo Paul,
735,15-04-2019,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,171,7,172,5,Mumbai Indians,Wickets,5,Lasith Malinga,
736,16-04-2019,Punjab Cricket Association Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Group,182,6,170,7,Kings XI Punjab,Runs,12,Ravichandran Ashwin,
737,17-04-2019,Rajiv Gandhi International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Group,132,5,137,4,Sunrisers Hyderabad,Wickets,6,David Warner,
738,18-04-2019,Feroz Shah Kotla,Mumbai Indians,Delhi Capitals,Mumbai Indians,Bat,Group,168,5,128,9,Mumbai Indians,Runs,40,Hardik Pandya,
739,19-04-2019,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,213,4,203,5,Royal Challengers Bangalore,Runs,10,Virat Kohli,
740,20-04-2019,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,161,5,162,5,Rajasthan Royals,Wickets,5,Steve Smith,
741,20-04-2019,Feroz Shah Kotla,Kings XI Punjab,Delhi Capitals,Delhi Capitals,Field,Group,163,7,166,5,Delhi Capitals,Wickets,5,Shreyas Iyer,
742,21-04-2019,Rajiv Gandhi International Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,159,8,161,1,Sunrisers Hyderabad,Wickets,9,Khaleel Ahmed,
743,21-04-2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,161,7,160,8,Royal Challengers Bangalore,Runs,1,Parthiv Patel,
744,22-04-2019,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,Group,191,6,193,4,Delhi Capitals,Wickets,6,Rishabh Pant,
745,23-04-2019,M. A. Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Group,175,3,176,4,Chennai Super Kings,Wickets,6,Shane Watson,
746,24-04-2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Group,202,4,185,7,Royal Challengers Bangalore,Runs,17,AB de Villiers,
747,25-04-2019,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Group,175,6,177,7,Rajasthan Royals,Wickets,3,Varun Aaron,
748,26-04-2019,M. A. Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Group,155,4,109,10,Mumbai Indians,Runs,46,Rohit Sharma,
749,27-04-2019,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Group,160,8,161,3,Rajasthan Royals,Wickets,7,Jaydev Unadkat,
750,28-04-2019,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Bat,Group,187,5,171,7,Delhi Capitals,Runs,16,Shikhar Dhawan,
751,28-04-2019,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Group,232,2,198,7,Kolkata Knight Riders,Runs,34,Andre Russell,
752,29-04-2019,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,212,6,167,8,Sunrisers Hyderabad,Runs,45,David Warner,
753,30-04-2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,62,7,41,1,,,,,
754,1/5/2019,M. A. Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,Group,179,4,99,10,Chennai Super Kings,Runs,80,Mahendra Singh Dhoni,
755,2/5/2019,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Group,162,5,162,6,Mumbai Indians,Super Over,,Jasprit Bumrah,
756,3/5/2019,Punjab Cricket Association Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,183,6,185,3,Kolkata Knight Riders,Wickets,7,Shubman Gill,
757,4/5/2019,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Bat,Group,115,9,121,5,Delhi Capitals,Wickets,5,Amit Mishra,
758,4/5/2019,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,175,7,178,6,Royal Challengers Bangalore,Wickets,4,Shimron Hetmyer,
759,5/5/2019,Punjab Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Group,170,5,173,4,Kings XI Punjab,Wickets,6,K. L. Rahul,
